# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  87   0.376700E+02   0.145861E-24   0.383804E-26  -0.367202E-26   0.145859E-24   0.385397E-26  -0.365673E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  88   0.414370E+02   0.146398E-24   0.386810E-26  -0.367038E-26   0.146386E-24   0.386697E-26  -0.367084E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  89   0.455807E+02   0.146993E-24   0.387636E-26  -0.369240E-26   0.146999E-24   0.388409E-26  -0.368532E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  90   0.501388E+02   0.147705E-24   0.387507E-26  -0.372752E-26   0.147691E-24   0.390239E-26  -0.370267E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  91   0.551526E+02   0.148449E-24   0.392229E-26  -0.372180E-26   0.148462E-24   0.389696E-26  -0.372200E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  92   0.562557E+02   0.148621E-24   0.392684E-26  -0.372612E-26   0.148609E-24   0.392569E-26  -0.372659E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  93   0.573808E+02   0.148794E-24   0.393140E-26  -0.373044E-26   0.148781E-24   0.393025E-26  -0.373091E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  94   0.585284E+02   0.148966E-24   0.393596E-26  -0.373477E-26   0.148954E-24   0.393481E-26  -0.373524E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.653180E-18   0.296081E-19  -0.275110E-19
  95   0.596990E+02   0.149139E-24   0.394052E-26  -0.373910E-26   0.149127E-24   0.393937E-26  -0.373957E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.195895E-18   0.860274E-20  -0.799630E-20
  96   0.608930E+02   0.149312E-24   0.394509E-26  -0.374344E-26   0.149300E-24   0.394202E-26  -0.371926E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.603384E-19   0.256229E-20  -0.240280E-20
