# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  58   0.699807E+02   0.170599E-24   0.494968E-26  -0.379862E-26   0.170597E-24   0.495058E-26  -0.379765E-26   0.170596E-24   0.495055E-26  -0.379763E-26   0.170595E-24   0.495051E-26  -0.379760E-26
  59   0.713803E+02   0.170796E-24   0.495538E-26  -0.380299E-26   0.170794E-24   0.495629E-26  -0.380203E-26   0.170792E-24   0.495625E-26  -0.380200E-26   0.170791E-24   0.495622E-26  -0.380198E-26
  60   0.728079E+02   0.170993E-24   0.496767E-26  -0.377907E-26   0.170998E-24   0.496222E-26  -0.380658E-26   0.170997E-24   0.496218E-26  -0.380655E-26   0.171025E-24   0.492858E-26  -0.384195E-26
  61   0.742640E+02   0.171193E-24   0.497348E-26  -0.378349E-26   0.171227E-24   0.496209E-26  -0.381812E-26   0.171190E-24   0.497341E-26  -0.378344E-26   0.171225E-24   0.496202E-26  -0.381807E-26
  62   0.757493E+02   0.171420E-24   0.497350E-26  -0.381690E-26   0.171418E-24   0.497440E-26  -0.381593E-26   0.171417E-24   0.497437E-26  -0.381590E-26   0.171445E-24   0.496839E-26  -0.382297E-26
  63   0.772643E+02   0.171640E-24   0.497988E-26  -0.382179E-26   0.171638E-24   0.498079E-26  -0.382082E-26   0.171637E-24   0.498075E-26  -0.382080E-26   0.171665E-24   0.497477E-26  -0.382788E-26
  64   0.788096E+02   0.171860E-24   0.495854E-26  -0.385515E-26   0.171860E-24   0.498044E-26  -0.383224E-26   0.171853E-24   0.498701E-26  -0.382560E-26   0.171880E-24   0.495109E-26  -0.383269E-26
  65   0.803858E+02   0.172048E-24   0.499834E-26  -0.380240E-26   0.172083E-24   0.495693E-26  -0.383721E-26   0.172076E-24   0.498670E-26  -0.383706E-26   0.172069E-24   0.499329E-26  -0.383041E-26
  66   0.819935E+02   0.172271E-24   0.500482E-26  -0.380733E-26   0.172277E-24   0.499933E-26  -0.383505E-26   0.172276E-24   0.500591E-26  -0.380651E-26   0.172282E-24   0.499948E-26  -0.383517E-26
  67   0.836334E+02   0.172514E-24   0.497618E-26  -0.384034E-26   0.172514E-24   0.499940E-26  -0.384683E-26   0.172507E-24   0.500600E-26  -0.384016E-26   0.172505E-24   0.500596E-26  -0.384014E-26
  68   0.853060E+02   0.172738E-24   0.498263E-26  -0.384531E-26   0.172738E-24   0.500588E-26  -0.385181E-26   0.172730E-24   0.501248E-26  -0.384514E-26   0.172729E-24   0.501245E-26  -0.384511E-26
