# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  57   0.686085E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204639E-25   0.572356E-27  -0.442100E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.103992E-21   0.398106E-23  -0.302073E-23
  58   0.699807E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204604E-25   0.571459E-27  -0.438530E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.351713E-22   0.129087E-23  -0.992165E-24
  59   0.713803E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204604E-25   0.571459E-27  -0.438530E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.120854E-22   0.428920E-24  -0.326994E-24
  60   0.728079E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204604E-25   0.571459E-27  -0.438530E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.421252E-23   0.144404E-24  -0.109873E-24
  61   0.742640E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204604E-25   0.571459E-27  -0.438530E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.148546E-23   0.487972E-25  -0.374977E-25
  62   0.757493E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204639E-25   0.568796E-27  -0.442100E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.527471E-24   0.167671E-25  -0.127995E-25
  63   0.772643E+02   0.204618E-25   0.571129E-27  -0.438938E-27   0.204639E-25   0.571452E-27  -0.438710E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.187083E-24   0.571348E-26  -0.435885E-26
  64   0.788096E+02   0.204618E-25   0.574800E-27  -0.438938E-27   0.204641E-25   0.571563E-27  -0.438610E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.649336E-25   0.190647E-26  -0.145748E-26
  65   0.803858E+02   0.204657E-25   0.571594E-27  -0.438660E-27   0.204647E-25   0.571579E-27  -0.438622E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204657E-25   0.571594E-27  -0.438660E-27
  66   0.819935E+02   0.204682E-25   0.571572E-27  -0.438802E-27   0.204670E-25   0.571644E-27  -0.438672E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204697E-25   0.568927E-27  -0.442257E-27
  67   0.836334E+02   0.204696E-25   0.571611E-27  -0.438832E-27   0.204684E-25   0.571683E-27  -0.438702E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204697E-25   0.571586E-27  -0.438865E-27
  68   0.853060E+02   0.204720E-25   0.571680E-27  -0.438885E-27   0.204743E-25   0.569087E-27  -0.442327E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204737E-25   0.571815E-27  -0.438829E-27
  69   0.870122E+02   0.204761E-25   0.571793E-27  -0.438972E-27   0.204749E-25   0.571865E-27  -0.438842E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204737E-25   0.571815E-27  -0.438829E-27
  70   0.887524E+02   0.204761E-25   0.571793E-27  -0.438972E-27   0.204784E-25   0.571858E-27  -0.439022E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204776E-25   0.572493E-27  -0.439244E-27
  71   0.905275E+02   0.204807E-25   0.571923E-27  -0.439072E-27   0.204831E-25   0.571988E-27  -0.439122E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204816E-25   0.572036E-27  -0.438999E-27
  72   0.923380E+02   0.204840E-25   0.572014E-27  -0.439142E-27   0.204863E-25   0.572079E-27  -0.439192E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204855E-25   0.572028E-27  -0.439205E-27
  73   0.941848E+02   0.204878E-25   0.572122E-27  -0.439224E-27   0.204902E-25   0.572187E-27  -0.439274E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204895E-25   0.572257E-27  -0.439169E-27
  74   0.960685E+02   0.204919E-25   0.572235E-27  -0.439311E-27   0.204942E-25   0.572301E-27  -0.439361E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204934E-25   0.572012E-27  -0.439617E-27
  75   0.979898E+02   0.204990E-25   0.572537E-27  -0.439357E-27   0.204980E-25   0.572508E-27  -0.439335E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.204974E-25   0.572478E-27  -0.439338E-27
  76   0.146985E+03   0.206391E-25   0.576347E-27  -0.442468E-27   0.206380E-25   0.576419E-27  -0.442336E-27   0.168125E-21   0.643911E-23  -0.488098E-23   0.206365E-25   0.576393E-27  -0.439748E-27
  77   0.149924E+03   0.206460E-25   0.577987E-27  -0.438930E-27   0.206462E-25   0.576650E-27  -0.442513E-27   0.547063E-22   0.202425E-23  -0.152872E-23   0.206485E-25   0.576697E-27  -0.442576E-27
  78   0.152923E+03   0.206579E-25   0.573733E-27  -0.446079E-27   0.206572E-25   0.576851E-27  -0.442855E-27   0.181062E-22   0.645493E-24  -0.492883E-24   0.206565E-25   0.576920E-27  -0.442747E-27
  79   0.155981E+03   0.206659E-25   0.574665E-27  -0.442802E-27   0.206659E-25   0.577094E-27  -0.443041E-27   0.608248E-23   0.208367E-24  -0.159518E-24   0.206644E-25   0.577143E-27  -0.442919E-27
  80   0.159101E+03   0.206739E-25   0.578768E-27  -0.439523E-27   0.206777E-25   0.573713E-27  -0.443294E-27   0.206913E-23   0.685606E-25  -0.525585E-25   0.206764E-25   0.577358E-27  -0.443298E-27
  81   0.162283E+03   0.206858E-25   0.575218E-27  -0.443228E-27   0.206858E-25   0.577649E-27  -0.443467E-27   0.709612E-24   0.225820E-25  -0.173223E-25   0.206844E-25   0.577343E-27  -0.443713E-27
  82   0.165529E+03   0.206935E-25   0.579034E-27  -0.443394E-27   0.206937E-25   0.577974E-27  -0.443529E-27   0.243503E-24   0.745300E-26  -0.570746E-26   0.206964E-25   0.574324E-27  -0.443604E-27
  83   0.168839E+03   0.207024E-25   0.579568E-27  -0.440128E-27   0.207062E-25   0.574505E-27  -0.443905E-27   0.820542E-25   0.240967E-26  -0.185382E-26   0.207044E-25   0.578260E-27  -0.443775E-27
  84   0.172216E+03   0.207139E-25   0.576000E-27  -0.443830E-27   0.207139E-25   0.578434E-27  -0.444070E-27   0.251778E-25   0.704202E-27  -0.543940E-27   0.207138E-25   0.578536E-27  -0.443961E-27
  85   0.175660E+03   0.207233E-25   0.580151E-27  -0.440573E-27   0.207235E-25   0.578809E-27  -0.444170E-27   0.207260E-25   0.575055E-27  -0.444330E-27   0.207249E-25   0.578741E-27  -0.444306E-27
  86   0.179174E+03   0.207343E-25   0.576567E-27  -0.444267E-27   0.207343E-25   0.579003E-27  -0.444507E-27   0.207366E-25   0.575349E-27  -0.444558E-27   0.207355E-25   0.575319E-27  -0.444534E-27
  87   0.182757E+03   0.207449E-25   0.579406E-27  -0.444628E-27   0.207439E-25   0.579377E-27  -0.444606E-27   0.207463E-25   0.575619E-27  -0.444766E-27   0.207452E-25   0.579309E-27  -0.444742E-27
